filename,emotion,category,rationale,polarity,subjectivity,annotator
sam-gilliam_red-petals.jpg,anger,MIN,is a starburst,0.0,0.0,annotator_36
sam-gilliam_red-petals.jpg,anger,MIN,It has smooth transitions. It is relaxed.,0.4,0.5,annotator_30
sam-gilliam_red-petals.jpg,anger,MAX,The red color exploding from the center.,-0.05,0.05,annotator_188
sam-gilliam_red-petals.jpg,anger,MAX,A vortex of angry red tones.,-0.25,0.5,annotator_28
sam-gilliam_red-petals.jpg,anger,MAX,paint little collapse,-0.1875,0.5,annotator_280
sam-gilliam_red-petals.jpg,anger,MAX,This piece and its colors remind you of fire and that is angry.,-0.5,1.0,annotator_62
sam-gilliam_red-petals.jpg,anger,MAX,CONTRAST RED COLOR AND BLACK DOTS,-0.0833333333333333,0.2166666666666666,annotator_284
sam-gilliam_red-petals.jpg,anger,MAX,The bright colors bring of feelings of intensity.,0.7000000000000001,0.7999999999999999,annotator_84
sam-gilliam_red-petals.jpg,anger,MAX,Evokes of pic,0.0,0.0,annotator_172
sam-gilliam_red-petals.jpg,anger,MAX,bursting with rage,0.0,0.0,annotator_249
sam-gilliam_red-petals.jpg,anger,MAX,irritating image,-0.4,0.8,annotator_235
sam-gilliam_red-petals.jpg,anger,MAX,"disturbing somewhat, makes me a bit angry",-0.5,0.9,annotator_235
sam-gilliam_red-petals.jpg,anger,MAX,Red is a color of anger,-0.35,0.1,annotator_120
sam-gilliam_red-petals.jpg,anger,MAX,"very unsettling and chaotic, red and alarming",-0.25,0.5033333333333333,annotator_246
sam-gilliam_red-petals.jpg,anger,MAX,The fiery colors suggest rage,0.0,0.0,annotator_197
sam-gilliam_red-petals.jpg,anger,MAX,the growing shapeless redness is like the boiling over of temper,-0.2,0.3,annotator_110
sam-gilliam_red-petals.jpg,anger,MAX,an explosion of hot color,0.25,0.8500000000000001,annotator_33
sam-gilliam_red-petals.jpg,anger,MAX,The fiery red evokes rage,0.0,0.0,annotator_197
sam-gilliam_red-petals.jpg,disgust,MIN,It is attractive,0.8,1.0,annotator_103
sam-gilliam_red-petals.jpg,disgust,MIN,"Looks like some mysterious outer space galaxy.  Mystery, not disgust.",0.0,1.0,annotator_28
sam-gilliam_red-petals.jpg,disgust,MAX,the red color is not to my liking,0.0,0.0,annotator_258
sam-gilliam_red-petals.jpg,disgust,MAX,BLOOD RED SPLITS,0.0,0.0,annotator_284
sam-gilliam_red-petals.jpg,disgust,MAX,heart bleeding red brown,0.0,0.0,annotator_147
sam-gilliam_red-petals.jpg,disgust,MAX,it looks like spilled blood,0.0,0.0,annotator_227
sam-gilliam_red-petals.jpg,disgust,MAX,as if seeing inside a giant squid,0.0,1.0,annotator_290
sam-gilliam_red-petals.jpg,disgust,MAX,The color is angry,-0.5,1.0,annotator_120
sam-gilliam_red-petals.jpg,disgust,MAX,DARK BLOODY COLOR,-0.475,0.65,annotator_284
sam-gilliam_red-petals.jpg,disgust,MAX,Looks like a blood cell under attack.,0.0,0.0,annotator_28
sam-gilliam_red-petals.jpg,disgust,MAX,The reds are too deep so it looks like blood.,0.0,0.4,annotator_285
sam-gilliam_red-petals.jpg,disgust,MAX,"Angry colors, unsettled shapes",-0.5,1.0,annotator_254
sam-gilliam_red-petals.jpg,disgust,MAX,looks like puke and fluids,0.0,0.0,annotator_91
charlotte-posenenske_sprayed-picture-1965-1(1).jpg,anger,MIN,The composition is very orderly.,0.2,0.3,annotator_188
charlotte-posenenske_sprayed-picture-1965-1(1).jpg,anger,MIN,with the few colors/lines there is not a lot going on in the pic,-0.2,0.1,annotator_24
charlotte-posenenske_sprayed-picture-1965-1(1).jpg,anger,MIN,"Luminous orange elements, grey background, rather peaceful.",0.1,0.3,annotator_28
charlotte-posenenske_sprayed-picture-1965-1(1).jpg,anger,MIN,vertical lines and simplistic pattern,-0.5,0.5,annotator_32
charlotte-posenenske_sprayed-picture-1965-1(1).jpg,anger,MIN,white and straight lines,0.1,0.2,annotator_98
charlotte-posenenske_sprayed-picture-1965-1(1).jpg,anger,MIN,uniform plainess static,0.5,0.9,annotator_306
charlotte-posenenske_sprayed-picture-1965-1(1).jpg,anger,MIN,vertical lines are soothing,0.0,0.0,annotator_32
charlotte-posenenske_sprayed-picture-1965-1(1).jpg,anger,MIN,The yellow and black bars seem composed and peaceful.,0.0277777777777777,0.3111111111111111,annotator_28
charlotte-posenenske_sprayed-picture-1965-1(1).jpg,anger,MIN,The colors and composition are calm and placid,2.775557561562892e-17,0.725,annotator_197
charlotte-posenenske_sprayed-picture-1965-1(1).jpg,anger,MIN,"A restrained painting, all elements in harmony.",0.0,0.0,annotator_28
charlotte-posenenske_sprayed-picture-1965-1(1).jpg,anger,MIN,vertical lines are soothing,0.0,0.0,annotator_32
charlotte-posenenske_sprayed-picture-1965-1(1).jpg,happiness,MIN,BLACK AND  FADE IMAGE,-0.1666666666666666,0.4333333333333333,annotator_284
charlotte-posenenske_sprayed-picture-1965-1(1).jpg,happiness,MIN,"dullness, color and design",0.0,0.0,annotator_234
charlotte-posenenske_sprayed-picture-1965-1(1).jpg,happiness,MIN,dull design without bright or attractive color,0.4027777777777778,0.7666666666666666,annotator_234
charlotte-posenenske_sprayed-picture-1965-1(1).jpg,happiness,MIN,looks like underground pipes,0.0,0.0,annotator_255
charlotte-posenenske_sprayed-picture-1965-1(1).jpg,happiness,MIN,dull design without bright or attractive color,0.4027777777777778,0.7666666666666666,annotator_234
charlotte-posenenske_sprayed-picture-1965-1(1).jpg,happiness,MIN,BLACK AND LOW FADE IMAGE,-0.0833333333333333,0.3666666666666667,annotator_284
charlotte-posenenske_sprayed-picture-1965-1(1).jpg,happiness,MIN,"dullness, color and design",0.0,0.0,annotator_234
charlotte-posenenske_sprayed-picture-1965-1(1).jpg,happiness,MIN,Simple straight lines and light colors.,0.2,0.4857142857142857,annotator_285
charlotte-posenenske_sprayed-picture-1965-1(1).jpg,happiness,MIN,SIMPLE BLACK SPRAY,-0.0833333333333333,0.3952380952380953,annotator_284
charlotte-posenenske_sprayed-picture-1965-1(1).jpg,happiness,MIN,Looks like draperies in a cheap motel that a crackhead has pulled shut because they're paranoid that the police are about the break in any minute. Very sad.,-0.125,0.85,annotator_260
charlotte-posenenske_sprayed-picture-1965-1(1).jpg,happiness,MAX,"calm, gradient, yellow",0.15,0.375,annotator_27
charlotte-posenenske_sprayed-picture-1965-1(1).jpg,happiness,MAX,Nice pic,0.6,1.0,annotator_172
charlotte-posenenske_sprayed-picture-1965-1(1).jpg,happiness,MAX,single line of yellow give me a peace,-0.0357142857142857,0.1071428571428571,annotator_66
kazuo-shiraga_goshiki-sanmai-1976.jpg,anger,MIN,"picture, color and design",0.0,0.0,annotator_234
kazuo-shiraga_goshiki-sanmai-1976.jpg,anger,MIN,The primary colors are smooth and bright,0.5,0.6,annotator_8
kazuo-shiraga_goshiki-sanmai-1976.jpg,anger,MIN,circular pattern reminds me of a plate/food and is calming,0.0,0.0,annotator_24
kazuo-shiraga_goshiki-sanmai-1976.jpg,anger,MAX,The bright colors are brush strokes suggest violent movement,-0.0499999999999999,0.8999999999999999,annotator_197
kazuo-shiraga_goshiki-sanmai-1976.jpg,anger,MAX,paint little collapse,-0.1875,0.5,annotator_280
kazuo-shiraga_goshiki-sanmai-1976.jpg,anger,MAX,ROUGH STOKES AND COLOR,-0.1,0.4,annotator_284
kazuo-shiraga_goshiki-sanmai-1976.jpg,anger,MAX,The whirling circle suggests a mind in rage.,0.0,0.0,annotator_28
kazuo-shiraga_goshiki-sanmai-1976.jpg,anger,MAX,the mix of color seems messy and dirty,-0.4,0.6000000000000001,annotator_290
kazuo-shiraga_goshiki-sanmai-1976.jpg,anger,MAX,as if a broken disk with splattered paint,-0.4,0.4,annotator_290
kazuo-shiraga_goshiki-sanmai-1976.jpg,anger,MAX,The art is not complete and yellow colour is not used properly,-0.0166666666666666,0.1666666666666666,annotator_154
kazuo-shiraga_goshiki-sanmai-1976.jpg,anger,MAX,hyper-creative art design,0.0,0.0,annotator_100
kazuo-shiraga_goshiki-sanmai-1976.jpg,anger,MAX,The bright colors and violent swirl suggest rage,-0.0499999999999999,0.8999999999999999,annotator_197
